itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"sfVB02    ","x"," ",    1.00000    ,"(-)                 ","shape factor growth curve cohort 2                ","volume    ","volume    "," ","                              "
"dmCfVB02  ","x"," ",    2.50000    ,"(dm/gC)             ","dry matter carbon ratio veg. cohort 2             ","volume    ","volume    "," ","                              "
"iniVB02   ","x"," ",    0.00000    ,"(t/ha)              ","initial veg. biomass cohort 2                     ","volume    ","volume    "," ","                              "
"iniCovVB02","x"," ",    0.00000    ,"(%)                 ","initial veg. coverage cohort 2                    ","volume    ","volume    "," ","                              "
"SWiniVB02 ","x"," ",    1.00000    ,"(-)                 ","switch 0=biomass 1=%coverage for cohort 2         ","volume    ","volume    "," ","                              "
"ageVB02   ","x"," ",   -999.000    ,"(d)                 ","age of vegetation cohort 2                        ","volume    ","volume    "," ","                              "
"VBType02  ","x"," ",    2.00000    ,"(-)                 ","nr of the vegetation type (for warnings)          ","volume    ","volume    "," ","                              "
"F1VB02    ","x"," ",   0.500000    ,"(-)                 ","allocation factor comp. 1 (stem) VB02             ","volume    ","volume    "," ","                              "
"F2VB02    ","x"," ",   0.200000    ,"(-)                 ","allocation factor comp. 2 (foliage) VB02          ","volume    ","volume    "," ","                              "
"F3VB02    ","x"," ",    0.00000    ,"(-)                 ","allocation factor comp. 3 (branch) VB02           ","volume    ","volume    "," ","                              "
"F4VB02    ","x"," ",   0.100000    ,"(-)                 ","allocation factor comp. 4 (root) VB02             ","volume    ","volume    "," ","                              "
"F5VB02    ","x"," ",   0.200000    ,"(-)                 ","allocation factor comp. 5 (fineroot) VB02         ","volume    ","volume    "," ","                              "
"CNf1VB02  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in stem VB02                ","volume    ","volume    "," ","                              "
"CNf2VB02  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in foliage VB02             ","volume    ","volume    "," ","                              "
"CNf3VB02  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in branch VB02              ","volume    ","volume    "," ","                              "
"CNf4VB02  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in root VB02                ","volume    ","volume    "," ","                              "
"CNf5VB02  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in fineroot VB02            ","volume    ","volume    "," ","                              "
"CPf1VB02  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in stem VB02               ","volume    ","volume    "," ","                              "
"CPf2VB02  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in foliage VB02            ","volume    ","volume    "," ","                              "
"CPf3VB02  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in branch VB02             ","volume    ","volume    "," ","                              "
"CPf4VB02  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in root VB02               ","volume    ","volume    "," ","                              "
"CPf5VB02  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in fineroot VB02           ","volume    ","volume    "," ","                              "
"CSf1VB02  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in stem VB02                 ","volume    ","volume    "," ","                              "
"CSf2VB02  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in foliage VB02              ","volume    ","volume    "," ","                              "
"CSf3VB02  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in branch VB02               ","volume    ","volume    "," ","                              "
"CSf4VB02  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in root VB02                 ","volume    ","volume    "," ","                              "
"CSf5VB02  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in fineroot                  ","volume    ","volume    "," ","                              "
"SWRegrVB02","x"," ",    1.00000    ,"(-)                 ","allow regrowth (y=1,n=0) after decay              ","volume    ","volume    "," ","                              "
"SWVB02Dec ","x"," ",    0.00000    ,"(-)                 ","biomass is decaying after prev mort type 2        ","volume    ","volume    "," ","                              "
"IniAgeVB02","x"," ",    0.00000    ,"(d)                 ","inital age of VB at start of simulation           ","volume    ","volume    "," ","                              "
"IniVB02dec","x"," ",    0.00000    ,"(-)                 ","inital decay Switch VB02 start simulation         ","volume    ","volume    "," ","                              "
"VB02ha    ","x"," ",   -999.000    ,"(tC/ha)             ","vegetation biomass cohort 2                       ","volume    ","volume    "," ","                              "
"VB02Aha   ","x"," ",   -999.000    ,"(tC/ha)             ","attainable vegetation biomass cohort 2            ","volume    ","volume    "," ","                              "
"fVB02     ","x"," ",   -999.000    ,"(gC/m2/d)           ","area scaled flux dVB02                            ","volume    ","volume    "," ","                              "
"VB02Age0ha","x"," ",   -999.000    ,"(tC/ha)             ","biomass at age = 0 for cohort 2                   ","volume    ","volume    "," ","                              "
"NutLimVB02","x"," ",   -999.000    ,"(-)                 ","nutrient limitation for vegetation growth         ","volume    ","volume    "," ","                              "
"dVB02     ","x"," ",   -999.000    ,"(gC/m3/d)           ","growth rate vegetation biomass cohort 2           ","volume    ","volume    "," ","                              "
"RcMrtVB02 ","x"," ",   0.100000E-01,"(d)                 ","rate consatant for mortality cohort 2             ","volume    ","volume    "," ","                              "
"fC2VB02P1 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB02 to POC1                    ","volume    ","volume    "," ","                              "
"fC2VB02P2 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB02 to POC2                    ","volume    ","volume    "," ","                              "
"fC2VB02P3 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB02 to POC3                    ","volume    ","volume    "," ","                              "
"fN2VB02P1 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB02 to PON1                    ","volume    ","volume    "," ","                              "
"fN2VB02P2 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB02 to PON2                    ","volume    ","volume    "," ","                              "
"fN2VB02P3 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB02 to PON3                    ","volume    ","volume    "," ","                              "
"fP2VB02P1 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB02 to POP1                    ","volume    ","volume    "," ","                              "
"fP2VB02P2 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB02 to POP2                    ","volume    ","volume    "," ","                              "
"fP2VB02P3 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB02 to POP3                    ","volume    ","volume    "," ","                              "
"fS2VB02P1 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB02 to POS1                    ","volume    ","volume    "," ","                              "
"fS2VB02P2 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB02 to POS2                    ","volume    ","volume    "," ","                              "
"fS2VB02P3 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB02 to POS3                    ","volume    ","volume    "," ","                              "
"fC5VB02P1 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB02 to POC1                   ","volume    ","volume    "," ","                              "
"fC5VB02P2 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB02 to POC2                   ","volume    ","volume    "," ","                              "
"fC5VB02P3 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB02 to POC3                   ","volume    ","volume    "," ","                              "
"fN5VB02P1 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB02 to PON1                   ","volume    ","volume    "," ","                              "
"fN5VB02P2 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB02 to PON2                   ","volume    ","volume    "," ","                              "
"fN5VB02P3 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB02 to PON3                   ","volume    ","volume    "," ","                              "
"fP5VB02P1 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB02 to POP1                   ","volume    ","volume    "," ","                              "
"fP5VB02P2 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB02 to POP2                   ","volume    ","volume    "," ","                              "
"fP5VB02P3 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB02 to POP3                   ","volume    ","volume    "," ","                              "
"fS5VB02P1 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB02 to POS1                   ","volume    ","volume    "," ","                              "
"fS5VB02P2 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB02 to POS2                   ","volume    ","volume    "," ","                              "
"fS5VB02P3 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB02 to POS3                   ","volume    ","volume    "," ","                              "
"fC1VB02P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality stem VB02tto POC5                       ","volume    ","volume    "," ","                              "
"fC3VB02P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality branch VB02 to POC5                     ","volume    ","volume    "," ","                              "
"fC4VB02P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality root VB02 to POC5                       ","volume    ","volume    "," ","                              "
"fN1VB02P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality stem VB02tto PON5                       ","volume    ","volume    "," ","                              "
"fN3VB02P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality branch VB02 to PON5                     ","volume    ","volume    "," ","                              "
"fN4VB02P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality root VB02 to PON5                       ","volume    ","volume    "," ","                              "
"fP1VB02P5 ","x"," ",   -999.000    ,"(gP/m3/d)           ","mortality stem VB02tto POP5                       ","volume    ","volume    "," ","                              "
"fP3VB02P5 ","x"," ",   -999.000    ,"(gP/m3/d)           ","mortality branch VB02 to POP5                     ","volume    ","volume    "," ","                              "
"fP4VB02P5 ","x"," ",   -999.000    ,"(gP/m3/d)           ","mortality root VB02 to POP5                       ","volume    ","volume    "," ","                              "
"fS1VB02P5 ","x"," ",   -999.000    ,"(gS/m3/d)           ","mortality stem VB02tto POS5                       ","volume    ","volume    "," ","                              "
"fS3VB02P5 ","x"," ",   -999.000    ,"(gS/m3/d)           ","mortality branch VB02 to POS5                     ","volume    ","volume    "," ","                              "
"fS4VB02P5 ","x"," ",   -999.000    ,"(gS/m3/d)           ","mortality root VB02 to POS5                       ","volume    ","volume    "," ","                              "
"dMrtC1VB02","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality stem VB02                               ","volume    ","volume    "," ","                              "
"dMrtC3VB02","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality branch VB02                             ","volume    ","volume    "," ","                              "
"dMrtC4VB02","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality root VB02                               ","volume    ","volume    "," ","                              "
"dMrtC2VB02","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality foliage VB02                            ","volume    ","volume    "," ","                              "
"dMrtC5VB02","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality fineroot VB02                           ","volume    ","volume    "," ","                              "
"SwDisVB02 ","x"," ",    1.00000    ,"(-)                 ","Switch Gr. Distr.VBXX (1)cont. (2)lin. (3)exp.    ","volume    ","volume    "," ","                              "
"VegHeVB02 ","x"," ",    1.00000    ,"(m)                 ","Max Height VB02                                   ","volume    ","volume    "," ","                              "
"FfacVB02  ","x"," ",    1.00000    ,"(-)                 ","Form factor lin: F = M(mean)/(M/Hmax) VBXX        ","volume    ","volume    "," ","                              "
"ffVB02MrtW","x"," ",   -999.000    ,"(-)                 ","fraction in distribution mortality VB02 water     ","volume    ","volume    "," ","                              "
"fC2VB02P1y","x"," ",   -999.000    ,"(gC/m2/d)           ","fC2VB02P1y                                        ","volume    ","volume    "," ","                              "
"fC2VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fC2VB02P2y                                        ","volume    ","volume    "," ","                              "
"fC2VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fC2VB02P3y                                        ","volume    ","volume    "," ","                              "
"fN2VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fN2VB02P1y                                        ","volume    ","volume    "," ","                              "
"fN2VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fN2VB02P2y                                        ","volume    ","volume    "," ","                              "
"fN2VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fN2VB02P3y                                        ","volume    ","volume    "," ","                              "
"fP2VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fP2VB02P1y                                        ","volume    ","volume    "," ","                              "
"fP2VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fP2VB02P2y                                        ","volume    ","volume    "," ","                              "
"fP2VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fP2VB02P3y                                        ","volume    ","volume    "," ","                              "
"fS2VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fS2VB02P1y                                        ","volume    ","volume    "," ","                              "
"fS2VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fS2VB02P2y                                        ","volume    ","volume    "," ","                              "
"fS2VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fS2VB02P3y                                        ","volume    ","volume    "," ","                              "
"fC1VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fC1VB02P5y                                        ","volume    ","volume    "," ","                              "
"fC3VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fC3VB02P5y                                        ","volume    ","volume    "," ","                              "
"fN1VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fN1VB02P5y                                        ","volume    ","volume    "," ","                              "
"fN3VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fN3VB02P5y                                        ","volume    ","volume    "," ","                              "
"fP1VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fP1VB02P5y                                        ","volume    ","volume    "," ","                              "
"fP3VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fP3VB02P5y                                        ","volume    ","volume    "," ","                              "
"fS1VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fS1VB02P5y                                        ","volume    ","volume    "," ","                              "
"fS3VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fS3VB02P5y                                        ","volume    ","volume    "," ","                              "
"dMC2VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMC2VB02P1                                        ","volume    ","volume    "," ","                              "
"dMC2VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMC2VB02P2                                        ","volume    ","volume    "," ","                              "
"dMC2VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMC2VB02P3                                        ","volume    ","volume    "," ","                              "
"dMN2VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMN2VB02P1                                        ","volume    ","volume    "," ","                              "
"dMN2VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMN2VB02P2                                        ","volume    ","volume    "," ","                              "
"dMN2VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMN2VB02P3                                        ","volume    ","volume    "," ","                              "
"dMP2VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMP2VB02P1                                        ","volume    ","volume    "," ","                              "
"dMP2VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMP2VB02P2                                        ","volume    ","volume    "," ","                              "
"dMP2VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMP2VB02P3                                        ","volume    ","volume    "," ","                              "
"dMS2VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMS2VB02P1                                        ","volume    ","volume    "," ","                              "
"dMS2VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMS2VB02P2                                        ","volume    ","volume    "," ","                              "
"dMS2VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMS2VB02P3                                        ","volume    ","volume    "," ","                              "
"dMC1VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMC1VB02P5                                        ","volume    ","volume    "," ","                              "
"dMC3VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMC3VB02P5                                        ","volume    ","volume    "," ","                              "
"dMN1VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMN1VB02P5                                        ","volume    ","volume    "," ","                              "
"dMN3VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMN3VB02P5                                        ","volume    ","volume    "," ","                              "
"dMP1VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMP1VB02P5                                        ","volume    ","volume    "," ","                              "
"dMP3VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMP3VB02P5                                        ","volume    ","volume    "," ","                              "
"dMS1VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMS1VB02P5                                        ","volume    ","volume    "," ","                              "
"dMS3VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMS3VB02P5                                        ","volume    ","volume    "," ","                              "
"ffVB02MrtS","x"," ",   -999.000    ,"(-)                 ","fraction in distribution mortality VB02 sed.      ","volume    ","volume    "," ","                              "
"fC5VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fC5VB02P1y                                        ","volume    ","volume    "," ","                              "
"fC5VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fC5VB02P2y                                        ","volume    ","volume    "," ","                              "
"fC5VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fC5VB02P3y                                        ","volume    ","volume    "," ","                              "
"fN5VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fN5VB02P1y                                        ","volume    ","volume    "," ","                              "
"fN5VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fN5VB02P2y                                        ","volume    ","volume    "," ","                              "
"fN5VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fN5VB02P3y                                        ","volume    ","volume    "," ","                              "
"fP5VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fP5VB02P1y                                        ","volume    ","volume    "," ","                              "
"fP5VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fP5VB02P2y                                        ","volume    ","volume    "," ","                              "
"fP5VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fP5VB02P3y                                        ","volume    ","volume    "," ","                              "
"fS5VB02P1y","x"," ",   -999.000    ,"{no unit}           ","fS5VB02P1y                                        ","volume    ","volume    "," ","                              "
"fS5VB02P2y","x"," ",   -999.000    ,"{no unit}           ","fS5VB02P2y                                        ","volume    ","volume    "," ","                              "
"fS5VB02P3y","x"," ",   -999.000    ,"{no unit}           ","fS5VB02P3y                                        ","volume    ","volume    "," ","                              "
"fC4VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fC4VB02P5y                                        ","volume    ","volume    "," ","                              "
"fN4VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fN4VB02P5y                                        ","volume    ","volume    "," ","                              "
"fP4VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fP4VB02P5y                                        ","volume    ","volume    "," ","                              "
"fS4VB02P5y","x"," ",   -999.000    ,"{no unit}           ","fS4VB02P5y                                        ","volume    ","volume    "," ","                              "
"dMC5VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMC5VB02P1                                        ","volume    ","volume    "," ","                              "
"dMC5VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMC5VB02P2                                        ","volume    ","volume    "," ","                              "
"dMC5VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMC5VB02P3                                        ","volume    ","volume    "," ","                              "
"dMN5VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMN5VB02P1                                        ","volume    ","volume    "," ","                              "
"dMN5VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMN5VB02P2                                        ","volume    ","volume    "," ","                              "
"dMN5VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMN5VB02P3                                        ","volume    ","volume    "," ","                              "
"dMP5VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMP5VB02P1                                        ","volume    ","volume    "," ","                              "
"dMP5VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMP5VB02P2                                        ","volume    ","volume    "," ","                              "
"dMP5VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMP5VB02P3                                        ","volume    ","volume    "," ","                              "
"dMS5VB02P1","x"," ",   -999.000    ,"{no unit}           ","dMS5VB02P1                                        ","volume    ","volume    "," ","                              "
"dMS5VB02P2","x"," ",   -999.000    ,"{no unit}           ","dMS5VB02P2                                        ","volume    ","volume    "," ","                              "
"dMS5VB02P3","x"," ",   -999.000    ,"{no unit}           ","dMS5VB02P3                                        ","volume    ","volume    "," ","                              "
"dMC4VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMC4VB02P5                                        ","volume    ","volume    "," ","                              "
"dMN4VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMN4VB02P5                                        ","volume    ","volume    "," ","                              "
"dMP4VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMP4VB02P5                                        ","volume    ","volume    "," ","                              "
"dMS4VB02P5","x"," ",   -999.000    ,"{no unit}           ","dMS4VB02P5                                        ","volume    ","volume    "," ","                              "
"fNVB02up  ","x"," ",   -999.000    ,"(gN/m2/d)           ","uptake (fine)roots VB02                           ","volume    ","volume    "," ","                              "
"fPVB02up  ","x"," ",   -999.000    ,"(gP/m2/d)           ","uptake roots VB02                                 ","volume    ","volume    "," ","                              "
"fSVB02up  ","x"," ",   -999.000    ,"(gS/m2/d)           ","uptake roots VB02                                 ","volume    ","volume    "," ","                              "
"fN1VB02upy","x"," ",   -999.000    ,"(gN/m2/d)           ","uptake VB02 through roots N pool 1                ","volume    ","volume    "," ","                              "
"fN2VB02upy","x"," ",   -999.000    ,"(gN/m2/d)           ","uptake VB02 through roots N pool 2                ","volume    ","volume    "," ","                              "
"fP1VB02upy","x"," ",   -999.000    ,"(gP/m2/d)           ","uptake VB02 through roots P pool 1                ","volume    ","volume    "," ","                              "
"fP2VB02upy","x"," ",   -999.000    ,"(gP/m2/d)           ","uptake VB02 through  roots P pool 2               ","volume    ","volume    "," ","                              "
"fS1VB02upy","x"," ",   -999.000    ,"(gS/m2/d)           ","uptake VB02 through roots  S pool 1               ","volume    ","volume    "," ","                              "
"fS2VB02upy","x"," ",   -999.000    ,"(gS/m2/d)           ","uptake VB02 through  roots S pool 2               ","volume    ","volume    "," ","                              "
"dN1VB02upy","x"," ",   -999.000    ,"(gN/m3/d)           ","uptake VB02 through roots N pool 1                ","volume    ","volume    "," ","                              "
"dN2VB02upy","x"," ",   -999.000    ,"(gN/m3/d)           ","uptake VB02 through roots N pool 2                ","volume    ","volume    "," ","                              "
"dP1VB02upy","x"," ",   -999.000    ,"(gP/m3/d)           ","uptake VB02 through roots P pool 1                ","volume    ","volume    "," ","                              "
"dP2VB02upy","x"," ",   -999.000    ,"(gP/m3/d)           ","uptake VB02 through  roots P pool 2               ","volume    ","volume    "," ","                              "
"dS1VB02upy","x"," ",   -999.000    ,"(gS/m3/d)           ","uptake VB02 through roots S pool 1                ","volume    ","volume    "," ","                              "
"dS2VB02upy","x"," ",   -999.000    ,"(gS/m3/d)           ","uptake VB02 through  roots S pool 2               ","volume    ","volume    "," ","                              "
"RootDeVB03","x"," ",    1.00000    ,"(m)                 ","Max Height VB03                                   ","volume    ","volume    "," ","                              "
"VB03Navail","x"," ",   -999.000    ,"(gN/m2)             ","VB03 nitrogen availability in rooting zone        ","volume    ","volume    "," ","                              "
"VB03Pavail","x"," ",   -999.000    ,"(gP/m2)             ","VB03 phosphorus availability in rooting z.        ","volume    ","volume    "," ","                              "
"VB03Savail","x"," ",   -999.000    ,"(gS/m2)             ","VB03 sulfur availability in rooting zone          ","volume    ","volume    "," ","                              "
"CrnsfVB03 ","x"," ",    5.00000    ,"(d)                 ","critical number successive flood days VB03        ","volume    ","volume    "," ","                              "
"SwNutVB03 ","x"," ",    0.00000    ,"(-)                 ","switch indicating nutrient limitation VB03        ","volume    ","volume    "," ","                              "
"nsnlVB03  ","x"," ",    0.00000    ,"(d)                 ","number of successive days nutrient lim. VB03      ","volume    ","volume    "," ","                              "
"CrnsnlVB03","x"," ",    0.00000    ,"(d)                 ","critical number of successive nut. lim VB03       ","volume    ","volume    "," ","                              "
"SwVB03Gro ","x"," ",    0.00000    ,"(-)                 ","vegetation biomass growth allowed (0=no,1=yes)    ","volume    ","volume    "," ","                              "
"SwVB03Mrt ","x"," ",    0.00000    ,"(-)                 ","vegetation biomass dead (0=no,1=yes)              ","volume    ","volume    "," ","                              "
"nsfVB03   ","x"," ",   -999.000    ,"(d)                 ","nr successive emersion(flood) VB03                ","volume    ","volume    "," ","                              "
"VB03      ","x"," ",   -999.000    ,"(gC/m2)             ","vegetation biomass cohort 3                       ","volume    ","volume    ","x","Vegetation module             "
"maxVB03   ","x"," ",    0.00000    ,"(t/ha)              ","maximum vegetation biomass cohort 3               ","volume    ","volume    "," ","                              "
"minVB03   ","x"," ",    0.00000    ,"(t/ha)              ","minimum vegetation biomass cohort 3               ","volume    ","volume    "," ","                              "
"hlfAgeVB03","x"," ",    0.00000    ,"(d)                 ","age where biomass is half of maximum cohort 3     ","volume    ","volume    "," ","                              "
"sfVB03    ","x"," ",    1.00000    ,"(-)                 ","shape factor growth curve cohort 3                ","volume    ","volume    "," ","                              "
"dmCfVB03  ","x"," ",    2.50000    ,"(dm/gC)             ","dry matter carbon ratio veg. cohort 3             ","volume    ","volume    "," ","                              "
"iniVB03   ","x"," ",    0.00000    ,"(t/ha)              ","initial veg. biomass cohort 3                     ","volume    ","volume    "," ","                              "
"iniCovVB03","x"," ",    0.00000    ,"(%)                 ","initial veg. coverage cohort 3                    ","volume    ","volume    "," ","                              "
"SWiniVB03 ","x"," ",    1.00000    ,"(-)                 ","switch 0=biomass 1=%coverage for cohort 3         ","volume    ","volume    "," ","                              "
"ageVB03   ","x"," ",   -999.000    ,"(d)                 ","age of vegetation cohort 3                        ","volume    ","volume    "," ","                              "
"VBType03  ","x"," ",    3.00000    ,"(-)                 ","nr of the vegetation type (for warnings)          ","volume    ","volume    "," ","                              "
"F1VB03    ","x"," ",   0.500000    ,"(-)                 ","allocation factor comp. 1 (stem) VB03             ","volume    ","volume    "," ","                              "
"F2VB03    ","x"," ",   0.200000    ,"(-)                 ","allocation factor comp. 2 (foliage) VB03          ","volume    ","volume    "," ","                              "
"F3VB03    ","x"," ",    0.00000    ,"(-)                 ","allocation factor comp. 3 (branch) VB03           ","volume    ","volume    "," ","                              "
"F4VB03    ","x"," ",   0.100000    ,"(-)                 ","allocation factor comp. 4 (root) VB03             ","volume    ","volume    "," ","                              "
"F5VB03    ","x"," ",   0.200000    ,"(-)                 ","allocation factor comp. 5 (fineroot) VB03         ","volume    ","volume    "," ","                              "
"CNf1VB03  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in stem VB03                ","volume    ","volume    "," ","                              "
"CNf2VB03  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in foliage VB03             ","volume    ","volume    "," ","                              "
"CNf3VB03  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in branch VB03              ","volume    ","volume    "," ","                              "
"CNf4VB03  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in root VB03                ","volume    ","volume    "," ","                              "
"CNf5VB03  ","x"," ",    10.0000    ,"(gC/gN)             ","carbon-nitrogen ratio in fineroot VB03            ","volume    ","volume    "," ","                              "
"CPf1VB03  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in stem VB03               ","volume    ","volume    "," ","                              "
"CPf2VB03  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in foliage VB03            ","volume    ","volume    "," ","                              "
"CPf3VB03  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in branch VB03             ","volume    ","volume    "," ","                              "
"CPf4VB03  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in root VB03               ","volume    ","volume    "," ","                              "
